Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Eisenhower,,,W,2,0,N
,Binghamton,,,L,0,2,N
,Ithaca,,,L,1,2,N
,RIT,,,W,2,0,N
,Wells,,,W,2,0,N
,Geneseo,,,L,0,2,Y
,Canisius,,,W,2,1,N
,SUNY Buffalo,,,W,3,0,N
,Roberts Wesleyan,,,W,3,1,N
,RIT,,,W,2,1,N
,Roberts Wesleyan,,,W,3,0,N
,Genesee CC,,,W,2,0,N
,Wells ,,,W,3,0,N
,Cazenovia,,,W,3,0,N
,Syracuse,,,L,1,2,N
,Keuka,,,L,1,2,N
,Colgate,,,W,2,1,N
,Cortland,,,L,0,2,Y
,Mohawk Valley CC,,,W,2,1,N
,Broome CC,,,W,2,0,N
,Delhi,,,W,2,1,N
,Binghamton,,,,,,N
,Hofstra,,,,,,N
,Brooklyn College,,,,,,N
,Cornell,,,W,2,0,N
,Houghton,,,L,0,2,N
