Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Geneseo,,,W,2,1,Y
,St. John Fisher,,,L,1,2,N
,Russell Sage,,,L,2,3,N
,Buffalo State,,,W,2,0,Y
,Fredonia,,,L,0,2,Y
,Hamilton,,,L,0,2,N
,RIT,,,L,0,2,N
,Elmira,,,L,0,2,N
,LeMoyne,,,L,1,2,N
,Nazareth,,,L,0,3,N
,LeMoyne,,,L,2,3,N
,Brockport,,,L,0,2,Y
,Buffalo State,,,W,2,0,Y
,Geneseo,,,L,0,2,Y
,Fredonia,,,L,0,2,Y
,Binghamton,,,L,0,3,N
,$Brockport,,,L,0,2,N
,RIT,,,L,1,2,N
,Clarkson,,,L,1,2,N
,St. Lawrence,,,L,0,2,N
,Alfred,,,L,1,2,N
,Keuka,,,L,0,3,N
,Oneonta,,,L,0,3,Y
,Clarkson,,,L,0,2,N
,Russell Sage,,,L,1,2,N
,Potsdam,,,L,1,2,Y
,Rochester,,,L,0,2,N
,Brockport,,,L,0,2,Y
,Cortland,,,L,0,2,Y
