Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
,Elmira,,,W,3,0,N
,Russell Sage,,,W,2,1,N
,Hamilton,,,W,2,0,N
,Oneonta,,,L,1,3,Y
,Cortland,,,L,0,2,Y
,Roberts Wesleyan,,,W,2,0,N
,Univ. of Buffalo ,,,L,1,3,N
,LeMoyne,,,L,1,3,N
,Alfred,,,W,3,2,N
,Binghamton,,,W,3,1,N
,Roberts Wesleyan,,,W,3,1,N
,Clarkson,,,W,2,1,N
,Geneseo,,,W,2,1,Y
,St. Lawrence,,,L,0,2,N
,RIT,,,L,1,3,N
,Keuka,,,W,3,0,N
,Cortland,,,L,0,2,Y
,Oneonta,,,W,2,1,Y
,Binghamton,,,L,0,2,N
,Clarkson,,,W,2,1,N
,Plattsburgh,,,W,2,0,N
,Nazareth,,,L,0,3,N
,RIT,,,L,0,2,N
,Potsdam,,,L,1,2,Y
,Plattsburgh,,,W,2,0,N
,St. John Fisher,,,L,1,2,N
,Rochester,,,L,1,2,N
,Cortland,,,L,0,2,Y
,RIT,,,L,0,2,N
,Nazareth,,,L,0,2,N
,Binghamton,,,L,0,2,N
,Potsdam,,,W,2,0,Y
,Siena,,,L,0,2,N
