Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/6,York,,,L,0,3,N
9/6,Plattsburgh,,,W,3,0,N
9/7,Binghamton,,,L,2,3,N
9/7,Penn St. Behrend,,,L,0,3,N
9/10,Nazareth,,,L,1,3,N
9/14,Alfred,,,W,3,1,N
9/14,Skidmore,,,L,1,3,N
9/17,Union,,,L,0,3,N
9/21,Hamilton,,,L,0,3,N
9/21,Oneonta,,,L,1,3,Y
9/24,St. John Fisher,,,L,1,3,N
9/27,Fredonia,,,L,1,3,Y
9/27,Geneseo,,,L,0,3,Y
9/28,Brockport,,,W,3,1,Y
9/28,Buffalo State,,,W,3,2,Y
9/28,SUNYIT,,,W,3,1,N
10/1,Keuka,,,W,3,0,N
10/3,LeMoyne,,,L,0,3,N
10/8,Binghamton,,,L,0,3,N
10/11,RIT,,,L,1,3,N
10/11,Ithaca,,,L,0,3,N
10/12,Rutgers-Neward,,,W,3,2,N
10/12,E. Stroudsburg,,,L,0,3,N
10/15,Binghamton,,,L,1,3,N
10/18,Brockport,,,L,1,3,Y
10/18,SUNYIT,,,W,3,1,N
10/18,Fredonia,,,L,0,3,Y
10/19,Buffalo State,,,W,3,0,Y
10/19,Geneseo,,,L,1,3,Y
10/26,Alfred,,,L,2,3,N
10/26,Geneseo,,,L,0,3,Y
10/26,Oneonta,,,L,1,3,Y
10/30,Elmira,,,L,0,3,N
11/3,Oneonta,,,L,0,3,Y
