Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/4,New York Univ.,,,L,1,3,N
9/4,Penn St. Behrend,,,L,0,3,N
9/5,Hartwick,,,W,3,2,N
9/5,Plattsburgh,,,L,1,3,N
9/12,Alfred,,,L,1,3,N
9/12,Skidmore,,,L,0,3,N
9/16,Nazareth,,,W,3,0,N
9/19,Hamilton,,,W,3,0,N
9/19,Oneonta,,,W,3,2,Y
9/22,St. John Fisher,,,L,0,3,N
9/25,Geneseo,,,L,1,3,Y
9/25,Buffalo State,,,L,1,3,Y
9/26,Fredonia,,,L,0,3,Y
9/26,Brockport,,,L,0,3,Y
10/1,LeMoyne,,,L,1,3,N
10/6,Binghamton,,,L,0,3,N
10/10,Elmira,,,L,0,3,N
10/17,Fredonia,,,W,3,1,Y
10/17,Geneseo,,,L,1,3,Y
10/18,Brockport,,,L,0,3,Y
10/18,Buffalo State,,,L,1,3,Y
10/21,Roberts Wesleyan,,,L,0,3,N
10/23,Cazenovia,,,W,3,0,N
10/24,Oneonta,,,L,0,3,Y
10/24,Union,,,L,2,3,N
10/24,Keuka,,,W,3,0,N
10/24,Potsdam,,,L,1,3,Y
10/27,Elmira,,,L,0,3,N
