Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/10,LeMoyne,,,W,3,0,N
9/13,St. Rose,,,L,0,2,N
9/13,Elmira,,,L,0,2,N
9/14,Clarkson,,,W,2,0,N
9/14,Hartwick,,,W,2,0,N
9/14,Union,,,W,2,0,N
9/17,Hamilton,,,L,0,3,N
9/21,Oneonta,,,L,2,3,Y
9/24,Nazareth,,,W,3,1,N
9/27,SUNYIT,,,W,3,0,N
9/27,Brockport,,,L,0,3,Y
9/28,Fredonia,,,W,3,1,Y
9/28,Geneseo,,,W,3,0,Y
9/28,Buffalo State,,,L,1,3,Y
10/2,Russell Sage,,,W,3,2,N
10/4,Potsdam,,,L,0,3,Y
10/8,Binghamton,,,W,3,0,N
10/10,SUNYIT,,,W,3,0,N
10/16,Elmira,,,L,0,3,N
10/18,Geneseo,,,W,3,0,Y
10/18,Brockport,,,L,1,3,Y
10/19,Buffalo State,,,L,2,3,Y
10/19,Fredonia,,,W,3,2,Y
10/22,St. Lawrence,,,W,3,1,N
10/24,St. John Fisher,,,L,1,3,N
10/26,Potsdam,,,W,2,1,Y
10/26,Oneonta,,,L,0,2,Y
10/26,Siena,,,L,1,2,N
10/26,SUNYIT,,,W,2,0,N
11/1,Oneonta,,,L,0,3,Y
