Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/3,LeMoyne,,,W,2,0,N
9/3,Cortland,,,L,1,2,Y
9/3,Hartwick,,,W,2,0,N
9/4,Dickson,,,W,2,0,N
9/4,Binghamton,,,L,1,2,N
9/7,LeMoyne,,,W,3,0,N
9/10,Elmira,,,W,2,0,N
9/10,Clarkson,,,W,2,0,N
9/10,Keuka,,,W,2,0,N
9/11,Hartwick,,,W,2,0,N
9/11,Potsdam,,,W,2,0,Y
9/14,Hamilton,,,W,3,0,N
9/17,Oneonta,,,W,3,0,Y
9/21,Nazareth,,,W,3,0,N
9/24,Brockport,,,L,1,3,Y
9/24,SUNYIT,,,W,3,0,N
9/25,Buffalo State,,,W,3,1,Y
9/25,Fredonia,,,W,3,0,Y
9/25,Geneseo,,,W,3,0,Y
9/28,Keuka,,,W,3,0,N
10/1,Clarkson,,,W,3,0,N
10/2,Russell Sage,,,W,2,0,N
10/2,SUNYIT,,,W,2,0,N
10/5,Binghamton,,,W,3,0,N
10/8,Potsdam,,,W,3,2,Y
10/11,Elmira,,,W,3,1,N
10/15,SUNYIT,,,W,3,0,N
10/15,Buffalo State,,,L,1,3,Y
10/15,Fredonia,,,W,3,0,Y
10/16,Brockport,,,L,0,3,Y
10/16,Geneseo,,,W,3,0,Y
10/19,St. Lawrence,,,W,3,0,N
10/22,Pitt-Johnstown,,,W,3,0,N
10/22,Adelphi,,,W,3,0,N
10/23,New York Ins. Of Tech,,,W,3,1,N
10/23,Univ. of Wash D.C. ,,,W,3,0,N
10/23,Mercyhurst,,,L,2,3,N
10/29,Binghamton,,,W,3,1,N
10/30,Brockport,,,L,0,3,Y
11/2,St. John Fisher,,,W,3,0,N
11/6,Hunter,,,W,2,0,N
11/6,New Paltz,,,W,2,0,Y
11/6,Ithaca,,,L,1,2,N
11/7,RIT,,,L,0,2,N
