Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/8,Potsdam,,,L,1,3,Y
9/13,LeMoyne,,,W,3,1,N
9/15,Oneonta,,,L,0,3,Y
9/18,SUNYIT,,,W,2,0,N
9/18,Hamilton,,,W,2,1,N
9/21,Fredonia,,,L,2,3,Y
9/21,Buffalo State,,,L,2,3,Y
9/22,Geneseo,,,L,0,3,Y
9/25,Nazareth,,,L,0,3,N
9/27,St. John Fisher,,,L,0,3,N
9/29,Russell Sage,,,L,1,3,N
10/2,Binghamton,,,L,0,2,N
10/2,Siena,,,W,2,0,N
10/5,Buffalo State,,,L,1,3,Y
10/5,Brockport,,,L,0,3,Y
10/6,Fredonia,,,L,0,3,Y
10/9,SUNYIT,,,W,3,2,N
10/11,Elmira,,,W,3,1,N
10/13,Brockport,,,L,0,3,Y
10/13,Geneseo,,,L,1,3,Y
10/16,St. Lawrence,,,W,3,1,N
10/19,Potsdam,,,W,2,0,Y
10/19,Siena,,,W,2,1,N
10/20,SUNYIT,,,W,2,0,N
10/20,Clarkson,,,W,2,0,N
10/20,Plattsburgh,,,W,2,0,N
10/23,Keuka,,,L,0,3,N
