Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/5,LeMoyne,,,L,0,3,N
9/5,Geneseo,,,L,0,3,Y
9/6,Plattsburgh,,,L,0,3,N
9/6,St. Lawrence,,,W,3,1,N
9/9,Nazareth,,,W,3,1,N
9/13,Alfred,,,L,1,3,N
9/13,Skidmore,,,W,3,2,N
9/16,Union,,,W,3,1,N
9/20,Hamilton,,,W,3,1,N
9/20,Oneonta,,,L,0,3,Y
9/23,St. John Fisher,,,W,3,0,N
9/26,Geneseo,,,L,0,3,Y
9/26,Fredonia,,,L,0,3,Y
9/27,Brockport,,,L,2,3,Y
9/27,Buffalo State,,,L,2,3,Y
9/30,Roberts Wesleyan,,,L,1,3,N
10/2,LeMoyne,,,L,2,3,N
10/7,Binghamton,,,L,1,3,N
10/10,Ithaca,,,L,0,3,N
10/10,Rutgers-Newark,,,L,1,3,N
10/11,RIT,,,L,0,3,N
10/11,Binghamton,,,L,0,3,N
10/17,Fredonia,,,L,0,3,Y
10/17,Geneseo,,,L,0,3,Y
10/18,Brockport,,,L,1,3,Y
10/18,Buffalo State,,,L,1,3,Y
10/24,Oneonta,,,L,0,3,Y
10/24,Hartwick,,,W,3,0,N
10/25,Potsdam,,,W,3,1,Y
10/25,Oneonta,,,L,0,3,Y
10/29,Elmira,,,L,0,3,N
