Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/2,York,,,W,2,0,N
9/2,Potsdam,,,W,2,0,Y
9/3,Penn St. Behrend,,,W,2,0,N
9/3,Hartwick,,,W,2,0,N
9/3,Cortland,,,W,3,0,Y
9/3,Binghamton,,,W,3,2,N
9/7,LeMoyne,,,W,3,0,N
9/10,Oneonta,,,W,2,0,Y
9/10,Binghamton,,,W,2,0,N
9/10,Rutgers-Newark,,,W,2,0,N
9/10,New Paltz,,,W,2,0,Y
9/17,Oneonta,,,W,3,0,Y
9/17,Hamilton,,,W,3,0,N
9/17,Nazareth,,,W,3,0,N
9/23,SUNYIT,,,W,3,0,N
9/23,Buffalo State,,,W,3,1,Y
9/24,Geneseo,,,W,3,1,Y
9/24,Fredonia,,,W,3,0,Y
9/24,Brockport,,,L,1,3,Y
9/27,Keuka,,,W,3,0,N
9/30,Fredonia,,,W,2,0,Y
9/30,Brockport,,,L,0,2,Y
9/30,Alfred,,,W,2,0,N
10/1,Elmira,,,W,2,0,N
10/1,St. John Fisher,,,W,2,1,N
10/4,Binghamton,,,W,3,0,N
10/8,Union,,,W,2,0,N
10/8,SUNYIT,,,W,2,0,N
10/12,Elmira,,,W,3,0,N
10/14,Buffalo State,,,W,3,1,Y
10/14,SUNYIT,,,W,3,0,N
10/14,Brockport,,,W,3,2,Y
10/15,Fredonia,,,W,3,0,Y
10/15,Geneseo,,,W,3,1,Y
10/18,St. Lawrence,,,W,3,0,N
10/26,Clarkson,,,W,3,0,N
10/28,New Paltz,,,W,3,0,Y
10/29,Cortland,,,W,3,1,Y
10/29,Brockport,,,L,2,3,Y
11/1,St. John Fisher,,,W,3,1,N
11/4,St. John Fisher,,,W,3,2,N
11/5,Vassar,,,W,3,2,N
11/5,New York Univ.,,,W,3,0,N
11/11,Brockport,,,L,1,3,Y
