Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/1,Keuka,,,W,2,0,N
9/1,York,,,W,2,0,N
9/2,Oneonta,,,L,1,2,Y
9/2,Penn St. Behrend,,,L,1,2,N
9/5,LeMoyne,,,W,3,0,N
9/8,Wheaton,,,L,1,3,N
9/9,Vassar,,,L,2,3,N
9/9,Union,,,L,1,3,N
9/16,Oneonta,,,W,3,0,Y
9/16,Hamilton,,,W,3,0,N
9/19,Nazareth,,,W,3,1,N
9/22,Brockport,,,L,0,3,Y
9/22,SUNYIT,,,W,3,0,N
9/23,Geneseo,,,L,2,3,Y
9/23,Buffalo State,,,W,3,0,Y
9/23,Fredonia,,,L,2,3,Y
9/26,Keuka,,,W,3,0,N
9/29,Tufts,,,L,0,2,N
9/29,tes,,,L,1,2,N
9/29,Colby,,,W,2,1,N
9/30,Wellesley,,,L,1,2,N
10/3,Binghamton,,,L,1,3,N
10/11,Elmira,,,W,3,1,N
10/13,SUNYIT,,,W,3,0,N
10/13,Brockport,,,L,1,3,Y
10/14,Buffalo State,,,L,2,3,Y
10/14,Geneseo,,,W,3,1,Y
10/14,Fredonia,,,L,2,3,Y
10/17,St. Lawrence,,,W,3,0,N
10/20,Muskingum,,,L,0,3,N
10/21,St. Xavier,,,L,0,3,N
10/21,Gettysburg,,,L,0,3,N
10/31,St. John Fisher,,,L,1,3,N
11/3,Coast Guard,,,L,0,3,N
11/3,Eastern Conn. State,,,L,0,3,N
11/3,Springfield,,,L,0,3,N
