Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/3,Penn St.-Behrend,,,L,0,3,N
9/4,Nazareth,,,W,3,1,N
9/4,New Paltz,,,L,1,3,Y
9/7,Nazareth,,,L,1,3,N
9/10,Skidmore,,,L,0,3,N
9/11,Elmira,,,L,1,3,N
9/11,Pitt-Bradford,,,L,0,3,N
9/11,Hamilton,,,L,0,3,N
9/15,Daemen,,,L,0,3,N
9/18,Hamilton,,,L,2,3,N
9/21,St. John Fisher,,,L,0,3,N
9/24,Geneseo,,,L,1,3,Y
9/24,Fredonia,,,L,1,3,Y
9/25,Buffalo State,,,L,0,3,Y
9/25,Brockport,,,L,0,3,Y
9/30,LeMoyne,,,L,0,3,N
10/5,St. Lawrence,,,L,0,3,N
10/5,Potsdam,,,L,1,3,Y
10/5,Potsdam,,,L,1,3,Y
10/5,SLU,,,L,0,3,N
10/8,Hartwick,,,W,3,2,N
10/8,Plattsburgh,,,W,3,2,N
10/9,LIU-C.W. Post,,,L,0,3,N
10/9,Messiah,,,L,0,3,N
10/15,Brockport,,,L,0,3,Y
10/15,Fredonia,,,L,1,3,Y
10/16,Geneseo,,,L,1,3,Y
10/16,Buffalo State,,,L,2,3,Y
10/19,Keuka,,,L,1,3,N
10/22,Hartwick,,,L,2,3,N
10/22,Skidmore,,,L,0,3,N
10/23,Union,,,W,3,1,N
10/23,Keuka,,,W,3,2,N
10/26,Elmira,,,L,0,3,N
